c1_p, 0.21
c1_beta, 0.025
c1_starbeta, 0.025
c1_se, 0.020
c1_n,11643
c1_r2, 0.94
c2_p, 0.06
c2_beta,-0.032
c2_starbeta,-0.032*
c2_se, 0.016
c2_n,11632
c2_r2, 0.94
c3_p, 0.22
c3_beta,-0.015
c3_starbeta,-0.015
c3_se, 0.012
c3_n,11556
c3_r2, 0.86
c4_p, 0.11
c4_beta,-0.023
c4_starbeta,-0.023
c4_se, 0.014
c4_n,11383
c4_r2, 0.96
c5_p, 0.00
c5_beta,-0.015
c5_starbeta,-0.015***
c5_se, 0.003
c5_n,11650
c5_r2, 0.93
c6_p, 0.00
c6_beta, 0.015
c6_starbeta,0.015***
c6_se, 0.004
c6_n,11651
c6_r2, 0.88
c7_p, 0.00
c7_beta,-0.016
c7_starbeta,-0.016***
c7_se, 0.005
c7_n,11651
c7_r2, 0.78
c8_p, 0.01
c8_beta,-0.015
c8_starbeta,-0.015***
c8_se, 0.006
c8_n,7774
c8_r2, 0.94
c9_p, 0.38
c9_beta, 0.004
c9_starbeta, 0.004
c9_se, 0.005
c9_n,11644
c9_r2, 0.88
c10_p, 0.00
c10_beta, 0.012
c10_starbeta,0.012***
c10_se, 0.004
c10_n,11644
c10_r2, 0.92
