ltt_1_p, 0.00
ltt_1_beta,-0.414
ltt_1_starbeta,-0.414***
ltt_1_se, 0.010
ltt_1_n,717073
ltt_1_r2, 0.28
ltt_2_p, 0.00
ltt_2_beta, 0.073
ltt_2_starbeta,0.073***
ltt_2_se, 0.005
ltt_2_n,276128
ltt_2_r2, 0.81
ltt_3_p, 0.00
ltt_3_beta,-0.600
ltt_3_starbeta,-0.600***
ltt_3_se, 0.013
ltt_3_n,771999
ltt_3_r2, 0.37
ltt_4_p, 0.00
ltt_4_beta,-0.257
ltt_4_starbeta,-0.257***
ltt_4_se, 0.014
ltt_4_n,143353
ltt_4_r2, 0.04
ltt_5_p, 0.00
ltt_5_beta,-0.239
ltt_5_starbeta,-0.239***
ltt_5_se, 0.012
ltt_5_n,282757
ltt_5_r2, 0.03
ltt_6_p, 0.00
ltt_6_beta,-0.368
ltt_6_starbeta,-0.368***
ltt_6_se, 0.012
ltt_6_n,628129
ltt_6_r2, 0.07
ltt_7_p, 0.00
ltt_7_beta,-0.391
ltt_7_starbeta,-0.391***
ltt_7_se, 0.011
ltt_7_n,726261
ltt_7_r2, 0.06
